OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,36.5505356,-95.2201005
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,44.02016099999999,-90.4919118
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,33.0048734,-112.657226
20,PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,33.0048734,-112.657226
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,35.357532,-94.3651769
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,40.9239392,-75.090561
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,38.7617173,-78.63280080000001
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,30.8051552,-97.6158453
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,32.4172615,-85.9430191
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,38.9591252,-85.8346566
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,41.2325272,-95.8597202
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,37.4562328,-100.8709897
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,38.4888055,-107.8479753
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,38.5766239,-75.5664336
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle                              ,DE,243,3.249,39.6946859,-75.5771659
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439,27.5343916,-82.510133
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,800,3.459,39.7641241,-105.5978791
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville                           ,GA,135,3.499,32.487246,-91.9681122
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.269,43.3683353,-83.8690359
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.339,43.3683353,-83.8690359
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.429,43.3683353,-83.8690359
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.289,43.3683353,-83.8690359
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.399,43.3683353,-83.8690359
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.299,43.3683353,-83.8690359
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,580,3.299,35.3565002,-109.0576134
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,32.7663945,-111.6023121
127,CIRCLE K #4700095,US-41,Henderson,KY,340,3.609,37.8462749,-87.5651383
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.399,39.1477525,-88.51731629999999
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.349,39.1477525,-88.51731629999999
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.549,39.1477525,-88.51731629999999
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.589,41.409225,-90.0173809
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.389,41.409225,-90.0173809
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.449,41.409225,-90.0173809
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,375,3.624,39.8992468,-85.9142887
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne                              ,IN,370,3.59233333,41.0778238,-85.1352737
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,475,3.13233333,40.9062476,-100.1456648
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,30.3079991,-81.8626735
159,PILOT TRAVEL CENTERS #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,30.3079991,-81.8626735
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA,600,3.23233333,30.458476,-90.9420887
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809,41.577757,-87.2581894
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43566666,36.1602597,-86.7928871
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches                             ,TX,618,2.859,31.6502141,-94.6807589
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.719,41.2325272,-95.8597202
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft                               ,WY,822,3.239,44.26237880000001,-104.9434977
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,433,3.23233333,42.767568,-93.3787535
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18566666,43.1351271,-93.3562537
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart                                  ,IA,320,3.099,41.4928859,-94.3088879
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,435,3.36733333,35.1691249,-90.1866918
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,800,3.299,40.3091852,-103.514484
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80566666,38.87627,-97.6122667
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,365,3.829,41.7164066,-86.1743974
203,PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,365,3.799,41.7164066,-86.1743974
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666,39.0154214,-83.8080919
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666,30.5279928,-99.852776
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666,38.87627,-97.6122667
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.999,37.3853119,-84.3352724
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359,29.1754693,-82.1847272
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,225,3.41233333,29.1754693,-82.1847272
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.039,30.4402742,-91.2114345
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179,41.1448817,-87.454364
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233333,30.2475947,-92.1935088
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729,30.0478423,-89.9587706
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499,38.8910204,-99.3177917
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666,35.1665466,-90.2055
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,165,3.899,39.6843961,-79.2418367
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,815,3.63566666,47.4938432,-111.343459
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559,41.9365953,-86.5713966
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399,37.7552282,-100.0187708
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.299,41.904373,-83.3701327
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.249,41.904373,-83.3701327
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.439,41.904373,-83.3701327
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.349,41.904373,-83.3701327
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.559,41.904373,-83.3701327
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499,38.9609501,-87.4072703
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399,39.3157539,-85.9648895
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,38.9904346,-95.25116
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333,37.2986575,-95.5466239
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,37.9417247,-96.7514842
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599,42.101657,-72.5931465
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199,39.1028604,-94.6786993
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666,41.1243414,-101.7224914
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,835,3.749,41.4151216,-112.0508381
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.469,30.0820006,-81.4983064
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666,41.5917624,-87.2287932
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.769,42.1146953,-75.8832526
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.689,42.1146953,-75.8832526
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.699,42.1146953,-75.8832526
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.739,42.1146953,-75.8832526
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666,30.3511222,-81.5544966
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749,42.9125095,-73.7948076
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.799,42.9125095,-73.7948076
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,41.5742786,-87.47329
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666,31.9749403,-95.263256
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489,32.6793226,-114.54999
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719,40.2528677,-82.9288377
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699,41.0370172,-81.8796484
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429,39.1139719,-94.6164971
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,550,3.499,41.5703281,-83.5907678
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333,35.4632705,-97.4753296
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899,35.4231185,-97.3270681
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,85,3.299,32.4879021,-82.9353155
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324,42.0966399,-102.8983309
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.26566666,36.8779954,-77.4037357
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399,41.138684,-84.8613902
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399,40.4096296,-95.5565859
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079,32.487246,-91.9681122
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333,33.4875457,-80.86152
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259,37.4726658,-105.8887754
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299,32.4268474,-88.40474239999999
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,355,3.299,48.9664142,-97.2588851
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666,36.7625414,-101.6285145
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,693,3.299,27.5955154,-99.4947567
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749,46.9829822,-109.7453123
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999,36.0977978,-84.0197136
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439,35.9530021,-83.9784358
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,31.036129,-104.8406835
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,31.036129,-104.8406835
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,430,3.179,39.1139719,-94.6164971
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666,34.2567016,-83.8230619
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059,33.6064804,-88.6590578
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,41.4339303,-86.8917027
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389,41.3650933,-89.1328061
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589,41.3650933,-89.1328061
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449,41.3650933,-89.1328061
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289,41.3650933,-89.1328061
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333,34.8646196,-92.3576823
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666,41.5838563,-87.23803749999999
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459,32.7663945,-111.6023121
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.899,41.1148321,-85.1944735
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.879,41.1148321,-85.1944735
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624,30.2317289,-92.5230141
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779,45.5447421,-122.3991729
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666,41.5984866,-109.2412428
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399,46.2171773,-119.7475677
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559,46.2171773,-119.7475677
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964,33.5444741,-86.7536215
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666,38.9920315,-93.5681179
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666,41.113357,-102.971989
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599,43.5860112,-72.2258487
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359,41.5105804,-74.2238553
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333,43.934,-91.8130177
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39948962,38.7945952,-106.5348379
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39625375,38.7945952,-106.5348379
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40695023,38.7945952,-106.5348379
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40630048,38.7945952,-106.5348379
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39722401,38.7945952,-106.5348379
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.3981947,38.7945952,-106.5348379
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379,44.6365107,-123.1059282
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666,35.4342336,-97.4079382
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666,35.9530021,-83.9784358
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.39948962,50.3475392,-113.7730599
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59317483,50.3475392,-113.7730599
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59114784,50.3475392,-113.7730599
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60163996,50.3475392,-113.7730599
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59216111,50.3475392,-113.7730599
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60231851,50.3475392,-113.7730599
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499,30.5279928,-99.852776
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549,39.8599391,-75.1557973
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666,45.3071943,-97.0514543
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499,42.0002243,-76.52970599999999
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499,37.6769172,-97.4020811
692,BP,US-63,Ottumwa,IA,489,3.399,41.0007396,-92.3909333
739,Arco #364420,US-23,Greenup,KY,255,3.649,38.565727,-82.8247192
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,40.3792516,-104.6927122
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,40.3643325,-91.4690832
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489,43.0101447,-89.8965463
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379,42.30861669999999,-87.8769915
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499,42.30861669999999,-87.8769915
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289,42.30861669999999,-87.8769915
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499,32.767122,-81.63746139999999
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499,35.1665466,-90.2055
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,435,3.291,35.1665466,-90.2055
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666,33.3371424,-86.7787985
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,615,3.12566666,33.3205495,-87.0516608
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,695,3.03233333,35.1140493,-92.4460514
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,930,3.39233333,33.427414,-112.0423676
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,33.6615092,-114.2296098
977,PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,33.6615092,-114.2296098
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,825,3.53233333,43.2022492,-112.3604582
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,900,3.56566666,32.5873672,-114.5497505
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.449,39.7334834,-75.540857
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.399,39.7334834,-75.540857
1042,Union 76,US-441 & SR-100A,Lake City,FL,75,3.56233333,30.2022282,-82.6373818
1043,ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.259,30.1838716,-82.6392755
1043,SHELL DBA ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.244,30.1838716,-82.6392755
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,20,3.60733333,30.1140207,-85.19984559999999
1075,PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.43233333,31.439685,-82.848714
1075,PILOT TRAVEL CENTERS #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.399,31.439685,-82.848714
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,16,3.399,32.487246,-91.9681122
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,527,3.399,42.0371117,-95.3988867
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,565,3.58233333,42.5771842,-92.7905919
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,787,3.799,43.6420154,-116.6453737
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.819,42.4815974,-87.9465087
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.879,42.4815974,-87.9465087
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.779,42.4815974,-87.9465087
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.769,42.4815974,-87.9465087
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,293,3.249,38.142028,-88.9126369
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.399,40.1267852,-87.7814579
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.499,40.1267852,-87.7814579
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.599,40.1267852,-87.7814579
1140,CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,280,3.499,39.590659,-89.6561217
1149,PILOT TRAVEL CENTER #30,"I-70, EXIT 96",Greenfield,IN,375,3.959,39.8211182,-85.7715277
1149,PILOT TRAVEL CENTERS #30,"I-70, EXIT 96",Greenfield,IN,375,3.959,39.8211182,-85.7715277
1151,SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,375,3.759,39.1139719,-94.6164971
1154,CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,595,3.199,30.1053548,-97.3294085
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,375,3.599,39.3648023,-85.5207801
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute                             ,IN,510,3.43566666,39.4635374,-87.33276269999999
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,365,3.869,40.9532721,-84.7267528
1158,PILOT TRAVEL CENTER #36,US-30  & SR-49,Valparaiso,IN,365,3.859,40.9532721,-84.7267528
1163,SHORT STOP #13,US-54,Emporia,KS,553,2.839,37.6683541,-97.8054687
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,410,3.20566666,38.231619,-84.5410326
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,415,3.609,37.834678,-85.7176166
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,725,3.384,30.7490282,-91.2934957
1199,ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,178,3.68233333,42.5152257,-71.7235837
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,22,3.599,39.5912979,-76.0688351
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.549,39.1477525,-88.51731629999999
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.349,39.1477525,-88.51731629999999
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.439,39.1477525,-88.51731629999999
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.399,39.1477525,-88.51731629999999
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.499,42.2517072,-85.6443609
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.099,42.2517072,-85.6443609
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.599,42.1135173,-85.96522929999999
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.559,42.1135173,-85.96522929999999
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,515,3.374,43.6804008,-92.9784678
1218,CASEYS #3658,SR-210,Pillager,MN,522,3.299,46.3349042,-94.4845802
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,494,3.01566666,40.1758072,-91.5253721
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,416,3.199,37.4920037,-94.2975271
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,494,3.01566666,39.6958068,-91.5113735
